"bv421 IgM","pe empty Klickmer"
891.074,-24.3041
8969.51,126.016
780.107,42.989
8679.56,35.1665
29194.9,54.3014
1575.31,61.168
5585.67,35.054
23155.1,42.6513
48760.4,2.86911
4922.01,16.5971
2792.34,46.816
30671.9,79.1223
37533.8,68.693
21283.6,57.9036
3006.49,48.1105
859.884,-30.1285
24317.1,22.674
11577.9,51.0371
4445.18,-11.649
2984.54,8.94519
7561.54,52.8381
754.299,57.2281
1403.22,-11.702
4119.28,-10.2723
12929.7,26.2753
9864.92,10.3517
53741.3,-7.04235
2739.88,-16.7852
2766.95,-11.5961
1110.24,41.6946
27055.1,8.66388
3240.96,3.76925
1488.95,-0.26475
1435.04,68.8041
45268.3,45.2402
1236.04,-5.77155
19026.7,-1.21785
4738.53,98.3726
11731.7,89.5861
10604.8,102.236
3172.78,25.4313
4179.62,91.0792
1429.03,-6.354
2317.28,-26.6339
14934.4,34.1536
21041.6,71.1913
868.818,47.9979
1988.88,60.9992
4047.08,18.4539
859.466,17.0472
33787.2,27.9635
10911.9,76.406
10292.7,60.0986
1973.26,42.2574
13666.6,-1.9062
20481.1,-25.7337
1159.82,74.4095
48291.1,-18.3207
1159.35,47.5477
29083.2,11.3645
1498.78,-8.2602
3580.44,-20.5976
4275.91,-25.416
2539.89,49.5175
8827.15,28.3574
1035.42,10.6893
21377.2,14.0089
7515.4,-7.3071
31842.6,-7.67775
9256.12,43.8895
24163.1,37.305
49101.6,40.4565
32909,58.185
16188.9,42.5951
33402.1,-4.7655
6414.99,-10.2723
14635.7,32.2965
26004.8,-22.292
2283.95,-2.0121
10012.5,0.731334
59534.5,-33.1996
886.424,8.94519
6984.92,-23.6157
1282.22,-6.354
2297.06,-10.7488
9335.11,32.184
17043.6,18.7915
922.942,44.5086
10029.1,37.8678
11684.4,79.1223
1306.88,77.4595
3730.59,-16.944
2942.23,30.8897
955.961,-36.6943
1478.61,-3.177
957.528,38.5431
10485.1,57.3407
2176.75,43.7206
13260.9,-9.05445
6897.36,58.8604
1439.53,19.1291
32704.2,-4.81845
11374.6,78.6789
1114.78,77.9584
5780.22,-20.4916
1318.22,36.7985
1127.06,39.6686
21229.1,-21.7624
5365.88,-38.5476
37270.4,-18.2677
806.386,19.0728
1451.49,-24.5688
827.911,-2.0121
1589.26,10.9144
1848.18,72.0793
6004.87,-18.6913
779.951,44.6211
1301.4,-30.0226
1160.18,31.2273
15252.1,-13.1316
18033.4,-23.4569
2707.18,17.5536
23236.8,24.5309
1622.75,56.9467
21679.7,18.5664
15207.7,120.686
28912.3,43.5518
31243.9,35.3353
1231.34,65.5268
931.667,47.8853
17888.7,56.609
831.986,-16.7322
10768.2,32.5216
2714.75,49.63
3485.88,61.6746
29925.4,18.1163
6872.02,10.6893
1082.55,61.8997
43080.2,50.8682
2752.11,76.9605
35501.4,-20.2269
15805.4,26.2753
956.431,49.2361
9113.44,56.4965
2946.72,-12.6551
1459.02,41.4132
11954.3,37.9803
3322.25,-20.5446
33375.7,-3.2829
1675.41,48.2793
38588.7,34.2661
2005.86,55.6522
20368.3,-5.98335
8468.86,-5.0832
24302.5,51.5999
1271.93,-25.5219
13340.8,-20.4387
17451.5,15.7531
23318.1,15.1342
10009.4,44.5086
1610,60.0986
1295.44,-3.01815
2960.77,57.1156
801.005,-0.05295
31214.5,6.97605
2971.12,93.8983
42649.8,39.3872
2134.85,10.9706
2406.2,18.8478
16416.1,26.7255
8850.71,9.95791
6012.13,110.891
1083.49,-13.5023
20335.9,62.6877
19219.5,71.9683
17870.6,-14.6142
20233.6,-3.0711
2313.68,4.61313
48291.7,-0.68835
1250.04,-18.6913
11909.2,103.284
1352.81,-28.8577
12016.4,19.0728
10631,-11.4902
3779.75,36.9111
1496.9,83.2771
2525.27,-11.5961
18590.2,-20.4387
2963.85,38.3743
17418.7,-6.08925
1697.04,-2.118
17131.1,39.2747
10106.4,-24.6217
14624.9,32.1277
17266.5,25.375
11845,42.3137
3636.76,-25.0454
917.614,78.7344
1529.18,30.7771
9277.33,-23.7745
1583.05,37.0236
1769.03,35.1665
1241.89,-3.44175
19881.3,42.5951
19974.8,11.9271
3777.03,72.6897
5259.72,62.0123
20150.4,96.1083
31737.1,74.1876
27446.6,-14.5612
25414.3,65.9713
9334.91,72.5787
38636.2,38.0929
3307.83,102.733
1415.97,-7.36005
9095.42,14.5715
772.428,31.2836
2730.01,-9.68985
8932.42,-23.5627
9561.8,34.2098
31810.3,10.0142
3660.74,1.91273
12981.3,155.094
829.582,7.87622
3726.83,20.8734
2427.31,-27.7987
1715.64,-4.71255
17252.3,-52.4735
2005.33,57.6221
899.328,-2.17095
3517.48,42.0886
838.359,11.6458
2882.72,40.963
15014,72.3012
11646.8,-8.94855
3243.05,43.383
34907.4,13.8401
16379.3,10.9706
28881.1,35.9544
7141.08,21.4924
1183.43,13.9526
2838.36,36.5734
1156.16,-13.2905
26310.3,2.02525
34609.4,45.4653
8656.88,31.79
19192.6,15.4718
21636.4,66.0268
1587.07,26.3316
59767.4,-4.81845
5794.33,13.9526
17332,12.3772
20419.8,-24.1982
2133.7,13.6713
14710,-12.1256
1100.31,12.546
1994.26,-4.60665
1627.82,20.1419
49490.5,37.4176
15754.9,2.58782
17117.3,-31.3994
3347.33,44.2834
6420,42.5951
1067.71,56.8342
8152.78,60.2112
21369.4,44.9025
2244.66,38.3743
2797.09,6.30092
5439.44,44.6211
1750.96,27.5696
11494.4,-20.4387
980.463,32.9718
4779.33,45.9718
14651.9,45.4653
1530.49,-18.5325
16022.6,12.6023
881.095,-25.2572
4858.69,33.8159
21882.6,29.314
1622.59,-37.3827
37437,23.1805
852.361,87.9819
2790.87,40.9067
3253.29,29.3703
40982.3,38.8807
1475.74,1.63145
30979.2,57.791
10033.8,23.2367
35587.3,-25.416
5644.91,31.2273
7625.74,31.2273
1659.84,-27.9576
4624.8,61.6746
5296.76,-2.70045
7245.51,33.6471
1049.32,97.9861
11232.5,-3.01815
3355.48,9.56407
9161.35,64.4154
6453.34,73.3555
10295.3,-8.0484
1171.94,47.9416
2718.99,31.8463
20596.9,60.1549
3801.8,-3.97125
5454.74,29.6517
16817,5.56954
14189.4,105.821
3273.56,-21.6036
64391.1,-16.6792
22541.8,-40.295
836.583,-22.7685
2468.74,34.9977
1589.99,-24.2511
43908.4,-4.7655
4516.28,7.08857
17223.2,64.9155
2609.17,89.1989
1828.02,14.0089
1369,-7.46595
848.808,1.96899
1544.07,38.6556
2307.51,42.7639
16658.4,54.02
754.926,-2.9652
15725.2,2.53157
24556.7,32.2402
774.099,71.4133
42850.2,63.6373
12566.6,-8.3661
1447.26,27.3445
8544.87,-24.7277
1108.36,57.3407
802.207,-29.4402
768.875,67.4712
29307.9,-1.00605
1148.85,-8.20725
3952.68,-14.9319
1049.48,-9.8487
1171.15,37.6427
1369.37,-19.4326
5192.9,70.6362
771.017,-3.7065
6918.93,72.9116
23916.1,-27.587
8718.74,-31.0817
2381.07,90.2497
5955.4,11.4207
22225,32.803
2207.31,65.8602
19270.4,84.606
41558.7,52.7255
36456.2,-4.60665
1908.37,14.1777
30337.3,26.3316
885.066,-24.5159
